has_affiliate,has_sponsorships,has_merchandise,sponsorship_frequency,affiliate_frequency,merch_frequency,channel_id,category_cc
False,False,True,0.0,0.0,0.02,UCpEhnqL0y41EpW2TvWAHD7Q,Entertainment
False,False,False,0.0,0.0,0.0,UC295-Dw_tDNtZXFeAPAW6Aw,Howto & Style
False,False,False,0.0,0.0,0.0,UCJ5v_MCY6GNUBTO8-D3XoAg,Sports
False,False,True,0.0,0.0,0.34,UCIwFjwMjI0y7PDBVEO9-bkQ,Entertainment
False,False,False,0.0,0.0,0.0,UCFFbwnve3yF62-tVXkTyHqg,Music
True,True,True,0.02,0.02,0.5,UCRijo3ddMTht_IHyNSNXpNQ,Sports
False,True,False,0.02,0.0,0.0,UCk8GzjMOrta8yxDcKfylJYw,Entertainment
False,False,True,0.0,0.0,0.42,UC0C-w0YjGpqDXGB8IHb662A,Music
False,False,True,0.0,0.0,0.48,UCEdvpU2pFRCVqU6yIPyTpMQ,Gaming
False,False,False,0.0,0.0,0.0,UCfM3zsQsOnfWNUppiycmBuw,Music
False,False,True,0.0,0.0,0.26,UC9CoOnJkIBMdeijd9qYoT_g,Music
False,False,True,0.0,0.0,0.78,UCqECaJ8Gagnn7YCbPEzWH6g,Music
False,False,False,0.0,0.0,0.0,UCp0hYYBW6IMayGgR-WeoCvQ,Entertainment
False,False,False,0.0,0.0,0.0,UCYvmuw-JtVrTZQ-7Y4kd63Q,Entertainment
False,False,False,0.0,0.0,0.0,UCcgqSM4YEo5vVQpqwN-MaNw,Entertainment
True,True,False,0.08,0.04,0.0,UCvlE5gTbOvjiolFlEm-c_Ow,Entertainment
False,False,False,0.0,0.0,0.0,UC3gNmTGu-TTbFPpfSs5kNkg,Film and Animation
False,False,False,0.0,0.0,0.0,UC4rlAVgAK0SGk-yTfe48Qpw,Howto & Style
False,False,True,0.0,0.0,0.08,UCJrOtniJ0-NWz37R30urifQ,Music
False,True,False,0.02,0.0,0.0,UCyoXW-Dse7fURq30EWl_CUA,Film and Animation
True,False,False,0.0,0.96,0.0,UCBnZ16ahKA2DZ_T5W0FPUXg,Education
True,False,False,0.0,0.78,0.0,UC22nIfOTM7KLIQuFGMKzQbg,Music
False,True,False,0.04,0.0,0.0,UC56gTxNs4f9xZ7Pa2i5xNzg,Music
False,False,False,0.0,0.0,0.0,UCb2HGwORFBo94DmRx4oLzow,Music
True,True,True,0.04,0.02,0.34,UCX6OQ3DkcsbYNE6H8uQQuVA,Entertainment
True,False,True,0.0,0.06,0.02,UCcdwLMPsaU2ezNSJU1nFoBQ,Education
False,False,False,0.0,0.0,0.0,UCOsyDsO5tIt-VZ1iwjdQmew,Music
False,True,False,0.02,0.0,0.0,UCa10nxShhzNrCE1o2ZOPztg,Music
True,True,True,0.04,0.02,0.02,UC3MLnJtqc_phABBriLRhtgQ,Music
